Name,Image,Link to event,Minimum Price,Maximum Price (Put -1 if no maximum),Minimum Attendees,Maximum Attendees (Put -1 if no maximum),Description,Location,Start Datetime,End Datetime,Type(s) of event (Seperate with |),Interests,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
,,,,,,,,,,,,machine learning,,
